Title,Year,Genre,Cast,Description,Timings,Director,ScreenIndex
Spiderman: No Way Home,2022,Action,Tom Holland;Toby Maguire;Andrew Garfield,Spider-Man: No Way Home is a superhero film released in 2021. The movie follows Peter Parker (played by Tom Holland) as he seeks the help of Doctor Strange to erase the knowledge of his secret identity from the world after it is revealed by Mysterio. However a spell goes wrong causing a multiverse to collide and bringing villains from other dimensions into Peter's world.,9:00 PM;3:00 PM;4:00 PM,Jon Watts,
Inception,2010,Sci-fi,Leonardo Di Caprio;Joseph Gordon-Levitt;Ellen Page,Inception is a 2010 science fiction thriller directed by Christopher Nolan. The film revolves around the concept of shared dreaming and follows a skilled thief named Dom Cobb (played by Leonardo DiCaprio) who specializes in a form of corporate espionage that involves entering the dreams of others to steal their secrets.,11:00 AM;3:00 PM;7:00 PM,Christopher Nolan,
Forrest Gump,1994,Drama,Tom Hanks;Robin Wright;Gary Sinise,Forrest Gump is a 1994 film directed by Robert Zemeckis. The story is narrated by Forrest Gump (played by Tom Hanks) a man with low intelligence but a kind heart as he recounts his extraordinary life experiences.,5:00 PM;8:00 AM;4:00 PM,Robert Zemeckis,
Raiders of The Lost Ark,1981,Action,Harrison Ford;Karen Allen;Paul Freeman,Raiders of the Lost Ark is a 1981 action-adventure film directed by Steven Spielberg and produced by George Lucas. The movie follows the iconic archaeologist and adventurer Dr. Indiana Jones (played by Harrison Ford) in his quest to find the Ark of the Covenant an ancient biblical artifact believed to possess extraordinary power.,9:00 PM;3:00 PM;4:00 PM,Steven Spielberg,
The Dark Knight,2008,Action,Christian Bale;Heath Ledger;Aaron Eckhart,The Dark Knight is a 2008 superhero film directed by Christopher Nolan and is the second installment of Nolan's Batman trilogy. The film follows the journey of Gotham City's vigilante Batman as he faces one of his most formidable adversaries the Joker.,11:00 AM;3:00 PM;7:00 PM,Christopher Nolan,
Shawshank Redemption,1994,Drama,Tim Robbins;Morgan Freeman;Bob Gunto,The Shawshank Redemption is a 1994 drama film directed by Frank Darabont based on a novella by Stephen King. The story revolves around Andy Dufresne a banker who is wrongfully convicted of the murder of his wife and her lover and is sentenced to life in Shawshank State Penitentiary.,5:00 PM;8:00 AM;4:00 PM,Frank Darabont,
The Lord of the Rings: The Return of the King,2003,Fantasy,Elijah Wood;Viggo Mortensen;Ian McKellen,The Lord of the Rings: The Return of the King is the third and final installment of Peter Jackson's film adaptation of J.R.R. Tolkien's epic fantasy novel The Lord of the Rings. The film continues the journey of Frodo Baggins a hobbit and his companions in their quest to destroy the One Ring and bring an end to the Dark Lord Sauron's reign of terror.,9:00 PM;3:00 PM;4:00 PM,Peter Jackson,
Pulp Fiction,1994,Action,John Travolta;Uma Thurman;Samuel Jackson,Pulp Fiction is a 1994 neo-noir crime film directed by Quentin Tarantino. The story is told in a non-linear narrative style and follows various interconnected characters through a series of interlocking crime stories in Los Angeles.,11:00 AM;3:00 PM;7:00 PM,Quentin Tarantino,
Superbad,2007,Comedy,Jonah Hill;Micheal Cera;Christopher Mintz-Plasse,Superbad follows two high school friends Seth and Evan who embark on a quest to obtain alcohol for a party to impress their crushes. Along the way they encounter various hilarious misadventures and learn important lessons about friendship and growing up.,5:00 PM;8:00 AM;4:00 PM,Greg Mottola,
The Grand Budapest Hotel,2014,Comedy,Ralph Fiennes;Tony Revolori;Adrien Brody,The Grand Budapest Hotel is a quirky comedy that takes place in the fictional European hotel between the wars. The film revolves around the misadventures of Gustave H. the hotel's legendary concierge and Zero Moustafa a young lobby boy as they become embroiled in a plot involving theft and murder and a valuable painting.,9:00 PM;3:00 PM;4:00 PM,Wes Anderson,
Bridesmaids,2011,Comedy,Kristen Wiig;Maya Rudolph;Melissa McCarthy,Bridesmaids follows Annie a down-on-her-luck woman who is asked to be the maid of honor for her best friend's wedding. As she navigates the challenges of wedding planning and her own personal struggles hilarity ensues with a cast of colorful characters.,11:00 AM;3:00 PM;7:00 PM,Paul Feig,
The Shining,1980,Horror,Jack Nicholson;Shelly Duvall;Danny Lloyd,The Shining follows Jack Torrance a writer and recovering alcoholic who takes a job as the winter caretaker of the historic Overlook Hotel. As winter sets in the isolation and supernatural forces within the hotel begin to take a toll on Jack's sanity leading to terrifying and deadly consequences for his family.,5:00 PM;8:00 AM;4:00 PM,Stanley Kubrick,
Get Out,2017,Horror,Daniel Kaluuya;Allison Williams;Catherine Keener,Get Out is a psychological horror film that explores racial tensions. When Chris an African American man visits his white girlfriend's family estate he uncovers a series of disturbing secrets about the family and their sinister motives. The film delves into social commentary and psychological terror,9:00 PM;3:00 PM;4:00 PM,Jordan Peele,
Hereditary,2018,Horror,Toni Collette;Alex Wolff;Milly Shapiro,Hereditary centers on the Graham family who are haunted by sinister and increasingly terrifying occurrences following the death of their secretive grandmother. As the family unravels the dark and mysterious history of their ancestry they confront unimaginable horrors,11:00 AM;3:00 PM;7:00 PM,Ari Aster,